,Name,Market Cap,P/E Ratio,Revenue,Average Vol. (3m),EPS,Beta,YTD,1 Year,3 Years,Weekly,Monthly
0,Apple,912440000000.0,17.01,258490000000.0,29290000.0,11.67,1.23,25.83,6.42,108.71,4,4
1,Microsoft,1.0,30.14,122210000000.0,23690000.0,4.48,1.23,32.35,31.96,168.48,4,4
2,Intel,213240000000.0,10.86,70840000000.0,23770000.0,4.36,0.83,0.53,-11.75,46.66,0,2
3,Cisco,240920000000.0,20.47,51320000000.0,20060000.0,2.74,1.19,29.59,28.37,94.97,4,4
4,Broadcom,110290000000.0,33.95,21310000000.0,2790000.0,8.19,0.91,7.86,4.99,74.77,2,4
5,Qualcomm,86800000000.0,39.71,21230000000.0,21120000.0,1.81,1.61,24.78,20.79,31.77,3,4
6,Avnet,4660000000.0,16.3,19900000000.0,556400.0,2.66,1.35,21.66,3.85,2.59,2,4
7,Western Digital,11350000000.0,90.48,18050000000.0,5940000.0,0.42,1.63,4.95,-51.63,-18.5,0,0
8,CDW Corp,15340000000.0,23.78,16590000000.0,684910.0,4.38,1.05,29.56,24.58,155.31,4,4
9,Cognizant A,36060000000.0,18.34,16320000000.0,5690000.0,3.47,1.02,-0.82,-20.12,2.71,0,0
10,Applied Materials,39710000000.0,11.86,15770000000.0,9230000.0,3.57,1.63,29.23,-12.91,79.05,4,3
11,Texas Instruments,104690000000.0,20.16,15590000000.0,4850000.0,5.51,1.22,17.39,-2.9,78.89,4,4
12,Seagate,12590000000.0,7.36,10850000000.0,3080000.0,6.19,1.66,18.11,-21.52,94.54,2,2
13,NVIDIA,93230000000.0,32.63,10730000000.0,12290000.0,4.69,2.02,14.34,-41.81,220.94,0,2
14,NXP,27240000000.0,14.34,9230000000.0,3540000.0,6.61,1.25,30.42,-15.36,11.97,2,2
15,Activision Blizzard,34460000000.0,23.91,7360000000.0,7810000.0,1.91,0.88,-3.44,-41.48,16.23,2,0
16,Intuit,67459999999.999985,41.34,6780000000.0,1470000.0,6.25,1.08,31.97,21.67,142.0,4,4
17,Analog Devices,40700000000.0,26.19,6240000000.0,2780000.0,4.2,1.4,27.95,8.73,93.38,4,4
18,NetApp,15230000000.0,13.52,6150000000.0,2630000.0,4.54,1.46,3.1,-21.29,143.07,0,1
19,Cerner,23020000000.0,36.77,5460000000.0,2600000.0,1.92,0.88,35.18,16.1,31.89,4,4
20,Microchip,20210000000.0,57.65,5350000000.0,2810000.0,1.47,1.4,17.74,-16.35,63.25,1,4
21,Equinix,42340000000.0,98.28,5220000000.0,388360.0,5.12,0.74,42.85,22.62,34.7,4,4
22,Elbit Systems,6770000000.0,32.17,4710000000.0,12680.0,4.85,0.83,38.38,30.99,70.87,4,4
23,KLA-Tencor,18050000000.0,13.64,4380000000.0,1530000.0,8.18,1.67,24.76,1.71,51.6,2,4
24,SS&Cs,14720000000.0,117.98,4140000000.0,1360000.0,0.49,1.29,28.77,6.49,98.06,2,4
25,Amdocs,8490000000.0,23.66,4040000000.0,832410.0,2.61,0.42,5.72,-10.76,8.9,4,3
26,Sabre Corpo,6440000000.0,22.76,3930000000.0,2110000.0,1.0,0.79,9.06,-8.81,-13.27,4,2
27,Skyworks,13010000000.0,12.86,3690000000.0,2050000.0,5.89,0.96,12.64,-24.53,14.47,0,0
28,Garmin,15320000000.0,21.8,3400000000.0,1070000.0,3.71,0.98,27.62,31.53,90.05,4,4
29,Xilinx,28290000000.0,32.81,3060000000.0,4360000.0,3.41,1.22,30.29,61.67,138.65,2,4
30,Citrix Systems,12930000000.0,27.43,3000000000.0,1960000.0,3.56,1.0,-4.22,-9.68,15.27,2,1
31,Open Text,11100000000.0,40.51,2880000000.0,499120.0,1.02,0.48,25.43,13.71,35.62,4,4
32,Logitech,6350000000.0,24.81,2790000000.0,199130.0,1.53,1.22,22.12,-14.0,134.21,2,3
33,Cypress,8119999999.999998,22.5,2440000000.0,8060000.000000001,0.99,1.89,74.61,26.91,118.17,4,4
34,Maxim,15870000000.0,24.02,2390000000.0,1670000.0,2.4,1.39,14.08,-4.37,56.74,4,4
35,CDK Global Holdings LLC,5940000000.0,16.43,2320000000.0,822150.0,2.92,0.85,1.92,-26.15,-13.04,0,0
36,Teradyne,7930000000.0,20.14,2110000000.0,2160000.0,2.27,1.55,45.92,16.81,134.7,4,4
37,ManTech,2570000000.0,30.85,1990000000.0,125000.0,2.08,0.94,23.35,18.13,77.52,4,4
38,MKS Instruments,4040000000.0,13.52,1980000000.0,573030.0,5.47,1.4,14.95,-28.76,79.05,0,1
39,Bruker,7410000000.0,40.46,1930000000.0,811410.0,1.17,1.27,58.25,55.53,93.23,4,4
40,Littelfuse,4350000000.0,26.35,1710000000.0,152790.0,6.67,1.1,2.43,-25.24,49.54,0,1
41,Jack Henry&Associates,10590000000.0,37.55,1580000000.0,385560.0,3.66,0.94,8.2,4.39,63.66,2,3
42,TTEC,2070000000.0,41.87,1530000000.0,84980.0,1.08,0.68,57.51,20.81,63.46,4,4
43,Formula Systems ADR,774120000.0,21.59,1510000000.0,406.0,2.29,0.9,38.89,30.95,53.92,4,4
44,j2 Global,4260000000.0,30.21,1510000000.0,362790.0,2.88,0.83,25.55,-4.27,33.09,4,4
45,National Instruments,5290000000.0,35.66,1360000000.0,518160.0,1.12,0.9,-11.55,-8.1,43.1,0,1
46,Franklin Electric,2130000000.0,22.29,1290000000.0,155910.0,2.05,1.31,6.79,-1.21,33.34,1,3
47,LogMeIn,3580000000.0,114.36,1230000000.0,645060.0,0.62,1.04,-12.22,-36.5,14.87,0,0
48,Ubiquiti,9220000000.0,29.86,1140000000.0,449380.0,4.44,1.34,30.95,51.18,225.04,2,4
49,CSG Systems,1600000000.0,21.97,918150000.0,164630.0,2.18,1.05,52.03,12.35,17.98,4,4
50,Blackbaud,3980000000.0,149.86,860250000.0,246760.0,0.54,1.18,29.33,-26.37,21.76,4,2
51,CyrusOne,6860000000.0,135.22,849800000.0,965560.0,0.45,0.74,14.69,5.3,17.15,4,4
52,MTS Systems,996830000.0,55.43,828780000.0,99970.0,1.0,1.31,38.87,1.6,23.13,4,4
53,Cognex,7760000000.0,35.0,810250000.0,1190000.0,1.28,1.99,17.33,-0.22,112.11,0,2
54,Cabot,3100000000.0,26.79,794340000.0,246130.0,3.99,1.41,11.45,-4.24,145.37,1,3
55,Kimball,615830000.0,16.77,757010000.0,98650.0,1.0,0.88,17.69,1.46,50.32,4,4
56,Kulicke&Soffa,1430000000.0,14.58,726770000.0,384210.0,1.48,1.31,8.68,-6.73,79.98,2,2
57,Himax,580130000.0,140.53,724090000.0,1240000.0,0.02,0.02,-1.31,-56.44,-64.22,0,0
58,Comtech,681410000.0,45.73,662860000.0,168750.0,0.62,1.47,16.19,-11.76,104.04,4,2
59,TESSCO,156810000.0,28.41,606810000.0,46330.0,0.65,1.32,59.33,19.87,52.72,4,4
60,Monolithic,5570000000.0,53.67,594590000.0,295460.0,2.43,1.65,10.11,-9.41,87.19,1,2
61,Hollysys Automation Tech,1130000000.0,9.04,560590000.0,326810.0,2.08,1.41,7.37,-17.33,7.61,0,0
62,Bel Fuse B,208370000.0,9.07,555320000.0,24960.0,1.69,1.9,-7.65,-23.55,-8.74,0,0
63,Bel Fuse A,188040000.0,9.07,555320000.0,1130.0,1.69,1.9,11.64,-25.49,-4.18,0,0
64,Ebix,1440000000.0,15.72,532520000.0,293940.0,3.02,1.48,9.61,-41.1,-2.37,0,0
65,Silicon Motion,1530000000.0,15.43,530350000.0,306150.0,2.71,0.94,18.58,-24.41,-9.21,3,2
66,Asia Pacific Wire & Cable,30400000.0,10.38,425950000.0,2640.0,0.21,1.46,13.4,-13.73,-2.65,0,0
67,Power Integrations,2110000000.0,40.72,402060000.0,122950.0,1.78,1.2,17.76,-9.9,35.16,2,4
68,Luminex,963860000.0,244.69,398220000.0,274430.0,0.09,0.79,-7.14,-30.46,9.55,0,1
69,Xperi,977800000.0,418.56,397160000.0,413010.0,0.05,0.34,8.86,11.22,-36.5,0,1
70,Progress,1840000000.0,31.78,392660000.0,461370.0,1.31,0.73,16.99,6.57,58.47,2,4
71,Computer Programs&Systems,373670000.0,21.52,349560000.0,125110.0,1.21,0.36,4.34,-22.17,-32.73,0,0
72,NIC,1070000000.0,19.69,343360000.0,338660.0,0.81,0.97,27.24,-4.05,-24.02,0,3
73,Universal Display,8680000000.0,105.25,335180000.0,732430.0,1.75,1.51,96.59,109.15,164.87,4,4
74,Allied Motion,331830000.0,20.0,327930000.0,65650.0,1.73,1.58,-22.62,-28.0,52.6,0,1
75,Monotype,681010000.0,43.55,298100000.0,323720.0,0.38,0.96,5.99,-24.89,-31.26,0,0
76,Sapiens,815210000.0,50.78,295500000.0,129590.0,0.32,1.16,49.23,56.91,33.71,4,4
77,InterDigital,2050000000.0,186.96,288600000.0,373960.0,0.35,1.01,-3.15,-24.08,10.42,0,0
78,Magic,415640000.0,19.64,286450000.0,25510.0,0.43,0.96,11.14,1.56,26.0,0,3
79,Gilat,474400000.0,25.02,261130000.0,20060.0,0.34,0.65,-6.55,-1.15,84.09,2,2
80,Wayside,51610000.0,8.23,185740000.0,5810.0,1.4,0.41,14.4,-19.44,-38.59,0,0
81,AudioCodes,462370000.0,33.83,180380000.0,204490.0,0.47,0.6,59.21,114.6,282.73,4,4
82,AstroNova,178630000.0,27.07,141360000.0,39620.0,0.93,0.26,40.0,40.0,70.23,4,4
83,American Software,443220000.0,73.81,111790000.0,66460.0,0.19,0.69,36.17,-6.13,42.16,4,4
84,Mesa Labs,822660000.0,111.99,103130000.0,47870.0,1.87,0.18,1.95,2.72,73.1,0,4
85,TransAct,82030000.0,15.29,53900000.0,18400.0,0.71,1.02,22.49,-3.93,51.93,4,2
86,RF Industries,69550000.0,17.91,50500000.0,22890.0,0.41,0.19,3.31,0.0,209.92,3,4
87,Simulations Plus,478690000.0,66.77,31250000.0,47780.0,0.41,-0.46,37.74,22.37,280.17,4,4
88,NVE Corporation,360740000.0,24.91,26480000.0,15600.0,2.99,1.37,-14.96,-39.24,28.39,0,0
89,MIND CTI,42180000.0,8.22,18130000.0,31890.0,0.26,0.69,-4.82,-1.81,4.33,0,0
90,Taitron,17670000.0,11.53,7950000.0,251400.0,0.26,1.61,77.19,81.6,202.19,3,4
