,Name,Symbol
0,Apple,AAPL
1,Microsoft,MSFT
2,Cisco,CSCO
3,Universal Display,OLED
4,AudioCodes,AUDC
5,Intel,INTC
6,Taitron,TAIT
7,Qualcomm,QCOM
8,Xilinx,XLNX
9,Bruker,BRKR
10,Sapiens,SPNS
11,Ubiquiti,UBNT
12,Intuit,INTU
13,Cypress,CY
14,Broadcom,AVGO
15,CDW Corp,CDW
16,Equinix,EQIX
17,Texas Instruments,TXN
18,Elbit Systems,ESLT
19,Garmin,GRMN
20,AstroNova,ALOT
21,Analog Devices,ADI
22,Teradyne,TER
23,Formula Systems ADR,FORTY
24,Cerner,CERN
25,Applied Materials,AMAT
26,TTEC,TTEC
27,TESSCO,TESS
28,Xperi,XPER
29,ManTech,MANT
30,CSG Systems,CSGS
31,Avnet,AVT
32,KLA-Tencor,KLAC
33,Open Text,OTEX
34,NVIDIA,NVDA
35,CyrusOne,CONE
36,MTS Systems,MTSC
37,NXP,NXPI
38,Maxim,MXIM
39,Jack Henry&Associates,JKHY
40,Cognex,CGNX
41,Progress,PRGS
42,j2 Global,JCOM
43,American Software,AMSWA
44,Kimball,KE
45,Seagate,STX
46,Cabot,CCMP
47,Microchip,MCHP
48,TransAct,TACT
49,Comtech,CMTL
50,Mesa Labs,MLAB
51,RF Industries,RFIL
52,Monolithic,MPWR
53,Sabre Corpo,SABR
54,Franklin Electric,FELE
55,Logitech,LOGI
56,Blackbaud,BLKB
57,Amdocs,DOX
58,Kulicke&Soffa,KLIC
59,Citrix Systems,CTXS
60,Power Integrations,POWI
61,Magic,MGIC
62,NetApp,NTAP
63,Gilat,GILT
64,NIC,EGOV
65,National Instruments,NATI
66,Skyworks,SWKS
67,InterDigital,IDCC
68,MIND CTI,MNDO
69,Silicon Motion,SIMO
70,Asia Pacific Wire & Cable,APWC
71,Activision Blizzard,ATVI
72,Luminex,LMNX
73,MKS Instruments,MKSI
74,Hollysys Automation Tech,HOLI
75,Littelfuse,LFUS
76,Western Digital,WDC
77,CDK Global Holdings LLC,CDK
78,Wayside,WSTG
79,Monotype,TYPE
80,Computer Programs&Systems,CPSI
81,LogMeIn,LOGM
82,Allied Motion,AMOT
83,Ebix,EBIX
84,NVE Corporation,SRCE
85,Himax,HIMX
86,SS&Cs,SSNC
87,Cognizant A,CTSH
88,Bel Fuse A,BELFA
89,Bel Fuse B,BELFB
