"Name,""Market Cap"",""P/E Ratio"",""Revenue"",""Average Vol. (3m)"",""EPS"",""Beta"",""Dividend"",""Yield"""
"Apple,""912.44B"",""17.01"",""258.49B"",""29.29M"",""11.67"",""1.23"",""3.08"",""1.55%"""
"Microsoft,""1.03"",""30.14"",""122.21B"",""23.69M"",""4.48"",""1.23"",""1.84"",""1.36%"""
"Intel,""213.24B"",""10.86"",""70.84B"",""23.77M"",""4.36"",""0.83"",""1.26"",""2.66%"""
"Cisco,""240.92B"",""20.47"",""51.32B"",""20.06M"",""2.74"",""1.19"",""1.40"",""2.50%"""
"Broadcom,""110.29B"",""33.95"",""21.31B"",""2.79M"",""8.19"",""0.91"",""10.60"",""3.81%"""
"Qualcomm,""86.80B"",""39.71"",""21.23B"",""21.12M"",""1.81"",""1.61"",""2.48"",""3.45%"""
"Avnet,""4.66B"",""16.30"",""19.90B"",""556.40K"",""2.66"",""1.35"",""0.80"",""1.84%"""
"Western Digital,""11.35B"",""90.48"",""18.05B"",""5.94M"",""0.42"",""1.63"",""2.00"",""5.25%"""
"CDW Corp,""15.34B"",""23.78"",""16.59B"",""684.91K"",""4.38"",""1.05"",""1.18"",""1.13%"""
"Cognizant A,""36.06B"",""18.34"",""16.32B"",""5.69M"",""3.47"",""1.02"",""0.80"",""1.26%"""
"Applied Materials,""39.71B"",""11.86"",""15.77B"",""9.23M"",""3.57"",""1.63"",""0.84"",""1.99%"""
"Texas Instruments,""104.69B"",""20.16"",""15.59B"",""4.85M"",""5.51"",""1.22"",""3.08"",""2.77%"""
"Seagate,""12.59B"",""7.36"",""10.85B"",""3.08M"",""6.19"",""1.66"",""2.52"",""5.53%"""
"NVIDIA,""93.23B"",""32.63"",""10.73B"",""12.29M"",""4.69"",""2.02"",""0.64"",""0.42%"""
"NXP,""27.24B"",""14.34"",""9.23B"",""3.54M"",""6.61"",""1.25"",""1.00"",""1.06%"""
"Activision Blizzard,""34.46B"",""23.91"",""7.36B"",""7.81M"",""1.91"",""0.88"",""0.37"",""0.81%"""
"Intuit,""67.46B"",""41.34"",""6.78B"",""1.47M"",""6.25"",""1.08"",""1.88"",""0.73%"""
"Analog Devices,""40.70B"",""26.19"",""6.24B"",""2.78M"",""4.20"",""1.40"",""2.16"",""1.96%"""
"NetApp,""15.23B"",""13.52"",""6.15B"",""2.63M"",""4.54"",""1.46"",""1.92"",""3.12%"""
"Cerner,""23.02B"",""36.77"",""5.46B"",""2.60M"",""1.92"",""0.88"",""0.72"",""1.02%"""
"Microchip,""20.21B"",""57.65"",""5.35B"",""2.81M"",""1.47"",""1.40"",""1.46"",""1.72%"""
"Equinix,""42.34B"",""98.28"",""5.22B"",""388.36K"",""5.12"",""0.74"",""9.84"",""1.96%"""
"Elbit Systems,""6.77B"",""32.17"",""4.71B"",""12.68K"",""4.85"",""0.83"",""1.76"",""1.13%"""
"KLA-Tencor,""18.05B"",""13.64"",""4.38B"",""1.53M"",""8.18"",""1.67"",""3.00"",""2.69%"""
"SS&Cs,""14.72B"",""117.98"",""4.14B"",""1.36M"",""0.49"",""1.29"",""0.40"",""0.69%"""
"Amdocs,""8.49B"",""23.66"",""4.04B"",""832.41K"",""2.61"",""0.42"",""1.14"",""1.85%"""
"Sabre Corpo,""6.44B"",""22.76"",""3.93B"",""2.11M"",""1.00"",""0.79"",""0.56"",""2.46%"""
"Skyworks,""13.01B"",""12.86"",""3.69B"",""2.05M"",""5.89"",""0.96"",""1.52"",""2.01%"""
"Garmin,""15.32B"",""21.80"",""3.40B"",""1.07M"",""3.71"",""0.98"",""2.28"",""2.82%"""
"Xilinx,""28.29B"",""32.81"",""3.06B"",""4.36M"",""3.41"",""1.22"",""1.48"",""1.32%"""
"Citrix Systems,""12.93B"",""27.43"",""3.00B"",""1.96M"",""3.56"",""1.00"",""1.40"",""1.43%"""
"Open Text,""11.10B"",""40.51"",""2.88B"",""499.12K"",""1.02"",""0.48"",""0.70"",""1.55%"""
"Logitech,""6.35B"",""24.81"",""2.79B"",""199.13K"",""1.53"",""1.22"",""0.70"",""1.71%"""
"Cypress,""8.12B"",""22.50"",""2.44B"",""8.06M"",""0.99"",""1.89"",""0.44"",""1.98%"""
"Maxim,""15.87B"",""24.02"",""2.39B"",""1.67M"",""2.40"",""1.39"",""1.84"",""3.19%"""
"CDK Global Holdings LLC,""5.94B"",""16.43"",""2.32B"",""822.15K"",""2.92"",""0.85"",""0.60"",""1.25%"""
"Teradyne,""7.93B"",""20.14"",""2.11B"",""2.16M"",""2.27"",""1.55"",""0.36"",""0.79%"""
"ManTech,""2.57B"",""30.85"",""1.99B"",""125.00K"",""2.08"",""0.94"",""1.08"",""1.68%"""
"MKS Instruments,""4.04B"",""13.52"",""1.98B"",""573.03K"",""5.47"",""1.40"",""0.80"",""1.08%"""
"Bruker,""7.41B"",""40.46"",""1.93B"",""811.41K"",""1.17"",""1.27"",""0.16"",""0.34%"""
