"Name,""15 Minutes"",""Hourly"",""Daily"",""Weekly"",""Monthly"""
"Apple,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Microsoft,""Sell"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Intel,""Sell"",""Strong Buy"",""Buy"",""Strong Sell"",""Neutral"""
"Cisco,""Neutral"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Broadcom,""Strong Sell"",""Neutral"",""Neutral"",""Neutral"",""Strong Buy"""
"Qualcomm,""Strong Sell"",""Strong Buy"",""Strong Buy"",""Buy"",""Strong Buy"""
"Avnet,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Neutral"",""Strong Buy"""
"Western Digital,""Strong Buy"",""Strong Buy"",""Strong Sell"",""Strong Sell"",""Strong Sell"""
"CDW Corp,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Cognizant A,""Strong Sell"",""Neutral"",""Buy"",""Strong Sell"",""Strong Sell"""
"Applied Materials,""Neutral"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Buy"""
"Texas Instruments,""Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Seagate,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Neutral"",""Neutral"""
"NVIDIA,""Neutral"",""Strong Buy"",""Neutral"",""Strong Sell"",""Neutral"""
"NXP,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Neutral"",""Neutral"""
"Activision Blizzard,""Strong Sell"",""Strong Sell"",""Neutral"",""Neutral"",""Strong Sell"""
"Intuit,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Analog Devices,""Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"NetApp,""Buy"",""Neutral"",""Sell"",""Strong Sell"",""Sell"""
"Cerner,""Strong Sell"",""Strong Sell"",""Sell"",""Strong Buy"",""Strong Buy"""
"Microchip,""Neutral"",""Strong Buy"",""Strong Buy"",""Sell"",""Strong Buy"""
"Equinix,""Strong Sell"",""Strong Sell"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Elbit Systems,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"KLA-Tencor,""Neutral"",""Strong Buy"",""Buy"",""Neutral"",""Strong Buy"""
"SS&Cs,""Sell"",""Strong Buy"",""Buy"",""Neutral"",""Strong Buy"""
"Amdocs,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Buy"""
"Sabre Corpo,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Neutral"""
"Skyworks,""Neutral"",""Strong Buy"",""Buy"",""Strong Sell"",""Strong Sell"""
"Garmin,""Neutral"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Xilinx,""Neutral"",""Strong Buy"",""Buy"",""Neutral"",""Strong Buy"""
"Citrix Systems,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Neutral"",""Sell"""
"Open Text,""Strong Sell"",""Strong Sell"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Logitech,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Neutral"",""Buy"""
"Cypress,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Maxim,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"CDK Global Holdings LLC,""Strong Buy"",""Strong Buy"",""Strong Sell"",""Strong Sell"",""Strong Sell"""
"Teradyne,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"ManTech,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"MKS Instruments,""Strong Buy"",""Strong Buy"",""Sell"",""Strong Sell"",""Sell"""
"Bruker,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Littelfuse,""Strong Buy"",""Strong Buy"",""Neutral"",""Strong Sell"",""Sell"""
"Jack Henry&Associates,""Strong Sell"",""Strong Sell"",""Buy"",""Neutral"",""Buy"""
"TTEC,""Neutral"",""Neutral"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"Formula Systems ADR,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
"j2 Global,""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"",""Strong Buy"""
